Sent,Recv
176,38
174,0
173,0
174,38
177,38
178,38
180,38
180,38
178,38
176,38
178,38
179,38
178,38
177,0
179,38
177,38
177,38
178,38
176,38
177,38
176,0
173,38
174,38
177,38
171,38
168,38
168,38
170,0
169,38
168,38
169,38
161,38
165,0
166,0
160,0
160,0
158,38
156,0
156,38
158,38
158,38
152,38
155,38
150,38
152,0
147,38
146,38
145,38
149,37
143,37
139,37
141,37
137,37
136,37
137,0
134,0
134,37
132,0
132,0
131,37
125,37
129,37
125,37
123,37
125,37
124,37
122,37
124,37
119,37
120,37
119,37
120,37
120,37
116,37
119,0
117,0
113,0
112,0
116,37
115,37
115,37
114,37
115,37
116,37
111,37
111,37
111,0
113,37
115,37
111,37
107,37
108,37
110,37
110,0
110,37
111,37
110,0
113,37
109,37
109,37
111,37
107,37
111,37
110,37
110,37
113,0
109,37
114,37
109,37
107,37
110,37
107,0
108,0
110,37
110,37
108,37
111,37
111,37
112,37
110,0
112,37
105,37
108,37
107,37
109,0
108,0
109,0
112,37
109,37
110,37
108,37
109,37
109,0
110,37
111,37
112,37
109,37
110,0
106,37
108,37
110,37
110,37
109,37
110,37
109,0
111,37
109,0
108,37
109,37
103,0
109,37
101,0
105,37
109,37
109,37
106,37
107,37
111,37
107,37
113,37
108,0
109,37
111,37
108,37
106,37
108,0
108,37
106,37
108,37
107,37
110,37
108,37
108,37
108,37
108,37
109,37
106,37
106,37
110,37
107,37
105,37
109,37
109,37
105,37
108,37
109,37
109,37
109,37
105,37
108,37
107,37
107,37
109,0
111,37
111,37
110,37
108,37
108,37
109,37
108,37
108,37
109,37
108,37
106,37
107,37
109,37
108,37
108,37
109,37
107,37
109,37
108,37
105,37
110,0
107,37
104,37
105,37
106,37
108,37
107,37
107,37
109,37
108,37
108,37
108,37
109,37
103,37
107,37
103,37
107,37
107,37
109,37
110,37
108,37
106,37
108,37
106,0
107,37
109,37
106,0
109,37
109,37
105,37
109,0
109,37
107,37
106,37
106,0
106,37
108,37
105,37
108,37
105,0
107,37
108,37
112,37
105,37
110,37
108,0
109,37
108,37
109,37
108,37
111,37
108,37
111,37
108,37
110,37
109,37
112,37
115,37
112,37
113,37
112,37
115,37
113,37
115,37
119,37
122,37
126,37
120,37
125,37
124,0
124,37
127,37
127,37
128,0
127,0
126,37
126,0
131,37
129,37
129,37
130,37
131,37
130,37
127,37
130,37
130,37
127,37
127,0
127,37
126,37
124,37
122,37
121,37
117,37
119,37
114,37
114,0
117,37
116,37
116,37
112,37
109,37
111,37
111,37
110,37
112,37
108,37
109,37
106,37
109,37
108,0
106,37
107,0
107,37
107,37
111,37
107,37
107,37
103,37
105,37
106,0
106,37
109,0
106,0
109,37
107,37
107,37
107,37
107,37
110,37
102,37
103,37
106,37
107,37
108,37
108,37
106,37
109,0
109,0
107,37
109,37
107,37
106,37
108,37
107,37
107,0
110,37
102,37
104,37
104,0
106,37
106,37
104,37
105,37
105,37
111,37
109,37
104,37
103,0
100,37
97,0
98,37
95,0
95,37
91,37
93,37
97,37
103,37
113,37
123,37
145,37
164,37
192,37
218,0
233,38
233,38
233,38
233,38
233,38
233,38
233,38
233,38
233,38
233,38
233,0
215,38
187,38
164,38
133,38
110,38
92,38
78,0
64,37
54,37
49,37
46,0
45,36
53,0
52,36
58,0
60,36
67,0
71,37
73,37
81,0
85,37
88,37
93,37
101,37
101,37
105,37
105,0
107,37
105,37
108,37
109,37
107,37
110,37
110,37
108,37
107,0
107,0
110,37
111,37
109,37
110,37
112,37
112,37
114,37
114,37
110,37
116,37
112,37
115,37
114,37
113,37
111,37
115,37
113,0
118,37
120,37
116,37
119,37
118,37
119,37
122,0
121,37
126,37
122,0
126,37
125,37
128,37
126,37
128,37
129,37
129,0
133,37
134,37
135,37
138,37
139,37
137,37
140,37
139,37
142,37
142,0
148,0
146,38
147,0
151,38
146,38
147,38
154,38
154,38
156,38
154,38
158,38
163,0
162,38
162,38
162,38
163,38
161,38
167,0
169,0
165,38
168,38
168,38
169,38
172,0
168,38
174,38
175,38
173,38
170,38
173,38
177,0
170,38
175,38
173,38
177,38
174,38
176,38
176,38
178,38
174,38
174,38
170,38
175,38
170,38
170,38
170,38
167,38
169,38
170,38
167,38
163,38
164,38
165,38
159,38
159,38
162,38
159,0
158,38
160,38
156,38
155,38
157,38
150,38
148,38
149,0
148,38
144,38
142,38
147,38
142,38
139,38
141,38
138,38
136,37
136,0
132,38
134,38
136,38
132,38
129,38
128,38
127,38
126,38
125,38
127,0
121,0
125,0
122,0
122,37
119,0
123,0
122,37
121,37
115,37
119,37
118,37
114,37
116,37
116,37
116,0
115,37
115,0
117,37
116,37
108,37
113,37
113,0
109,37
113,37
115,37
110,37
113,37
110,37
110,0
114,37
110,0
112,37
107,37
115,37
112,37
110,37
112,37
108,0
113,37
110,37
110,37
110,37
109,37
112,0
111,37
112,37
110,37
111,37
110,0
115,0
107,37
113,0
113,37
109,37
115,37
112,37
112,0
110,37
110,37
110,37
111,37
113,37
111,37
109,0
112,37
112,37
112,37
112,37
110,37
109,37
109,37
107,0
111,37
110,0
110,37
105,37
108,37
113,37
109,37
111,37
108,37
114,37
111,37
111,0
115,37
114,37
110,37
110,37
110,0
112,37
111,37
110,37
114,37
111,37
116,37
111,37
115,37
112,0
113,37
110,37
110,37
112,0
113,37
111,37
109,37
109,37
109,37
108,37
112,37
114,37
111,0
107,37
111,37
111,37
116,37
109,37
111,0
115,0
113,37
113,37
112,37
112,0
113,37
110,37
114,37
109,37
112,37
112,37
111,37
112,37
111,0
110,37
111,37
110,0
113,37
110,37
113,37
110,0
111,37
111,37
115,37
113,0
112,37
113,0
108,37
112,37
116,37
113,37
113,37
113,37
114,37
109,37
109,37
113,37
111,37
115,37
112,37
109,37
110,37
107,37
112,37
112,0
112,37
115,37
115,0
112,37
109,37
114,37
114,37
113,37
115,37
111,37
117,37
111,37
114,37
110,37
111,37
116,37
113,0
115,37
114,37
113,37
116,37
113,37
110,37
112,37
114,0
114,37
110,37
112,37
113,37
113,0
111,37
113,0
113,37
116,37
116,37
114,0
114,37
115,37
114,37
114,37
115,0
116,37
115,0
118,37
120,37
116,37
120,37
121,37
123,37
123,37
121,37
123,37
126,37
129,37
124,37
130,37
133,37
132,37
134,37
132,37
134,37
132,37
132,37
138,37
135,0
136,37
135,37
135,0
137,38
135,38
137,38
137,38
136,38
135,38
136,38
