Sent,Recv
176,89
174,89
173,89
174,89
177,64
178,64
180,64
180,64
178,94
176,64
178,92
179,92
178,92
177,92
179,92
177,92
177,92
178,92
176,92
177,92
176,92
173,92
174,64
177,91
171,91
168,89
168,64
170,64
169,64
168,89
169,89
161,64
165,84
166,84
160,84
160,84
158,64
156,83
156,64
158,82
158,82
152,82
155,82
150,82
152,64
147,80
146,80
145,64
149,64
143,78
139,78
141,64
137,74
136,64
137,71
134,71
134,71
132,70
132,70
131,70
125,70
129,70
125,70
123,70
125,70
124,70
122,0
124,64
119,65
120,0
119,63
120,0
120,63
116,0
119,0
117,63
113,0
112,0
116,59
115,59
115,59
114,59
115,0
116,0
111,60
111,0
111,58
113,0
115,59
111,59
107,0
108,56
110,56
110,56
110,57
111,57
110,57
113,57
109,0
109,57
111,57
107,57
111,56
110,0
110,0
113,57
109,57
114,57
109,57
107,57
110,57
107,57
108,57
110,57
110,57
108,57
111,57
111,0
112,58
110,58
112,58
105,58
108,58
107,0
109,56
108,57
109,57
112,57
109,57
110,57
108,0
109,56
109,0
110,0
111,0
112,0
109,59
110,59
106,59
108,0
110,0
110,57
109,57
110,57
109,57
111,0
109,58
108,58
109,0
103,57
109,0
101,57
105,57
109,0
109,0
106,57
107,0
111,56
107,56
113,0
108,59
109,0
111,0
108,58
106,0
108,56
108,56
106,56
108,0
107,0
110,56
108,57
108,0
108,56
108,0
109,56
106,56
106,56
110,56
107,56
105,56
109,0
109,57
105,0
108,55
109,57
109,57
109,0
105,57
108,0
107,56
107,56
109,56
111,56
111,0
110,58
108,58
108,58
109,58
108,58
108,58
109,58
108,0
106,56
107,56
109,56
108,56
108,56
109,0
107,57
109,57
108,0
105,0
110,0
107,57
104,57
105,57
106,57
108,57
107,57
107,57
109,57
108,57
108,0
108,56
109,0
103,57
107,57
103,0
107,54
107,0
109,56
110,56
108,56
106,0
108,56
106,0
107,56
109,56
106,57
109,57
109,0
105,57
109,57
109,0
107,56
106,56
106,0
106,55
108,0
105,56
108,55
105,0
107,0
108,56
112,56
105,59
110,59
108,59
109,0
108,57
109,57
108,57
111,57
108,57
111,0
108,58
110,58
109,58
112,0
115,59
112,0
113,59
112,59
115,59
113,59
115,0
119,60
122,64
126,64
120,64
125,64
124,64
124,65
127,64
127,67
128,67
127,67
126,67
126,64
131,66
129,64
129,67
130,67
131,68
130,68
127,68
130,68
130,68
127,68
127,68
127,68
126,64
124,66
122,66
121,66
117,66
119,66
114,0
114,60
117,60
116,0
116,0
112,61
109,61
111,61
111,61
110,61
112,61
108,61
109,0
