Sent,Recv
176,128
174,175
173,175
174,175
177,175
178,175
180,175
180,179
178,179
176,128
178,175
179,128
178,178
177,178
179,128
177,178
177,178
178,178
176,128
177,175
176,175
173,175
174,175
177,175
171,128
168,170
168,170
170,170
169,128
168,168
169,168
161,128
165,128
166,164
160,164
160,164
158,164
156,157
156,155
158,128
158,157
152,157
155,157
150,128
152,128
147,151
146,151
145,145
149,145
143,145
139,142
141,138
137,128
136,136
137,136
134,136
134,128
132,133
132,133
131,133
125,133
129,133
125,133
123,64
125,123
124,123
122,123
124,123
119,123
120,123
119,123
120,123
120,123
116,123
119,123
117,123
113,123
112,123
116,123
115,123
115,123
114,123
115,64
116,114
111,114
111,110
111,64
113,64
115,64
111,114
107,114
108,64
110,64
110,109
110,109
111,64
110,110
113,110
109,64
109,108
111,108
107,108
111,108
110,108
110,108
113,108
109,108
114,64
109,113
107,113
110,113
107,113
108,113
110,64
110,109
108,109
111,109
111,109
112,109
110,109
112,109
105,64
108,104
107,104
109,104
108,104
109,104
112,104
109,104
110,104
108,104
109,104
109,104
110,64
111,109
112,109
109,109
110,109
106,109
108,109
110,109
110,109
109,109
110,109
109,109
111,109
109,109
108,64
109,107
103,108
109,64
101,108
105,64
109,64
109,64
106,64
107,64
111,106
107,64
113,64
108,64
109,64
111,108
108,108
106,64
108,105
108,105
106,105
108,105
107,105
110,64
108,64
108,107
108,107
108,107
109,107
106,64
106,64
110,64
107,64
105,106
109,106
109,106
105,106
108,106
109,106
109,108
109,108
105,108
108,108
107,108
107,108
109,108
111,108
111,64
110,64
108,109
108,64
109,107
108,64
108,64
109,107
108,108
106,108
107,108
109,108
108,64
108,108
109,108
107,108
109,64
108,108
105,108
110,64
107,109
104,109
105,103
106,103
108,103
107,103
107,103
109,103
108,64
108,107
108,107
109,64
103,108
107,108
103,108
107,64
107,106
109,64
110,108
108,108
106,64
108,105
106,107
107,64
109,64
106,108
109,64
109,108
105,108
109,108
109,108
107,108
106,108
106,108
106,108
108,108
105,108
108,64
105,108
107,108
108,108
112,108
105,108
110,108
108,64
109,108
108,108
109,64
108,108
111,108
108,108
111,108
108,108
110,64
109,109
112,109
115,64
112,114
113,64
112,112
115,64
113,64
115,112
119,64
122,64
126,121
120,121
125,121
124,121
124,64
127,64
127,64
128,126
127,64
126,64
126,64
131,125
129,125
129,125
130,125
131,125
130,128
127,129
130,128
130,128
127,129
127,129
127,129
126,129
124,129
122,64
121,64
117,120
119,120
114,120
114,64
117,64
116,64
116,115
112,115
109,115
111,115
111,115
110,115
112,64
108,111
109,111
106,111
109,111
108,111
106,111
107,64
107,64
107,64
111,106
107,64
107,64
103,64
105,103
106,64
106,105
109,64
106,108
109,108
107,108
107,64
107,64
107,106
110,106
102,106
103,106
106,106
107,64
108,106
108,64
106,64
109,105
109,105
107,105
109,64
107,64
106,107
108,64
107,107
107,64
110,64
102,109
104,109
104,109
106,109
106,64
104,105
105,64
105,104
111,64
109,110
104,64
103,103
100,64
97,99
98,99
95,64
95,64
91,94
93,94
97,64
103,96
113,64
123,112
145,112
164,112
192,192
218,191
233,191
233,192
233,232
233,232
233,232
233,232
233,232
233,232
233,232
233,192
233,192
215,231
187,231
164,231
133,163
110,163
92,163
78,64
64,77
54,77
49,77
46,77
45,77
53,77
52,77
58,77
60,0
67,59
71,59
73,59
81,64
85,64
88,84
93,84
101,84
101,84
105,64
105,64
107,64
105,64
108,104
109,64
107,108
110,108
110,108
108,108
107,108
107,108
110,108
111,64
109,64
110,108
112,108
112,108
114,108
114,64
110,113
116,113
112,113
115,64
114,64
113,113
111,64
115,110
113,110
118,110
120,110
116,110
119,64
118,119
119,119
122,64
121,121
126,121
122,121
126,64
125,64
128,128
126,128
128,128
129,127
129,128
133,128
134,128
135,134
138,134
139,128
137,138
140,138
139,138
142,138
142,138
148,138
146,138
147,138
151,138
146,138
147,138
154,146
154,146
156,153
154,155
158,155
163,155
162,155
162,161
162,161
163,161
161,161
167,128
169,128
165,128
168,164
168,167
169,167
172,167
168,167
174,128
175,128
173,175
170,172
173,172
177,172
170,172
175,172
173,128
177,172
174,128
176,173
176,173
178,128
174,128
174,173
170,173
175,173
170,128
170,169
170,169
167,169
169,169
170,169
167,169
163,169
164,128
165,163
159,163
159,163
162,128
159,161
158,128
160,128
156,159
155,159
157,128
150,156
148,156
149,147
148,128
144,147
142,128
147,128
142,147
139,128
141,139
138,128
136,137
136,137
132,137
134,128
136,133
132,133
129,133
128,128
127,127
126,64
125,125
127,125
121,64
125,120
122,120
122,64
119,121
123,64
122,122
121,64
115,121
119,121
118,64
114,64
116,113
116,113
116,113
115,64
115,114
117,114
116,64
108,64
113,107
113,107
109,112
113,112
115,64
110,115
113,115
110,115
110,115
114,115
110,115
112,64
107,111
115,64
112,114
110,64
112,109
108,109
113,109
110,64
110,110
110,110
109,110
112,110
111,110
112,64
110,111
111,111
110,111
115,64
107,115
113,115
113,115
109,115
115,115
112,115
112,64
110,64
110,110
110,110
111,110
113,110
111,64
109,110
112,64
112,111
112,64
112,111
110,64
109,109
109,109
107,64
111,106
110,106
110,106
105,106
108,106
113,106
109,64
111,109
108,64
114,107
111,107
111,107
115,64
114,114
110,64
110,110
110,110
112,110
111,110
110,110
114,110
111,110
116,110
111,96
115,64
112,64
113,112
110,64
110,110
112,64
113,64
111,112
109,64
109,108
109,64
108,108
112,108
114,64
111,113
107,113
111,64
111,111
116,64
109,115
111,64
115,110
113,110
113,110
112,110
112,64
113,111
110,111
114,111
109,111
112,111
112,111
111,111
112,111
111,64
110,64
111,64
110,110
113,64
110,112
113,112
110,112
111,112
111,112
115,112
113,64
112,112
113,112
108,112
112,112
116,64
113,115
113,64
113,64
114,112
109,112
109,64
113,64
111,112
115,112
112,112
109,64
110,108
107,108
112,108
112,64
112,112
115,112
115,112
112,112
109,112
114,64
114,113
113,113
115,113
111,113
117,113
111,113
114,113
110,113
111,64
116,111
113,64
115,112
114,112
113,112
116,64
113,115
110,64
112,110
114,64
114,113
110,113
112,113
113,113
113,64
111,112
113,64
113,112
116,112
116,112
114,64
114,113
115,113
114,113
114,64
115,113
116,113
115,64
118,115
120,115
116,115
120,115
121,115
123,64
123,123
121,123
123,64
126,64
129,126
124,126
130,128
133,129
132,129
134,129
132,128
134,128
132,133
132,131
138,131
135,128
136,134
135,134
135,134
137,134
135,134
137,128
137,136
136,136
135,135
136,134
130,134
131,134
132,134
132,131
125,131
126,131
128,131
126,127
124,127
122,64
121,121
122,121
120,121
120,121
119,64
117,64
119,116
123,116
114,64
117,113
115,113
117,113
116,113
117,113
118,64
116,64
118,115
111,115
118,64
116,117
117,117
113,117
114,64
116,113
115,64
116,64
117,115
112,115
117,115
115,64
115,114
113,114
116,114
111,114
117,114
113,114
116,64
115,115
118,64
115,118
114,118
115,64
118,115
117,64
115,116
115,64
113,114
116,64
112,115
117,64
116,64
120,115
114,115
116,115
119,115
118,64
114,64
116,64
115,115
115,64
112,115
111,115
107,115
108,115
107,64
103,107
100,107
105,107
107,64
110,106
121,64
132,120
151,120
174,120
203,173
226,202
233,202
233,202
233,192
233,192
233,192
233,232
233,232
233,231
233,231
233,231
233,231
226,231
203,231
167,202
145,202
120,202
102,202
87,64
70,86
66,86
63,0
56,63
57,63
60,0
61,0
65,60
67,60
78,60
82,60
86,64
93,64
97,64
101,64
107,64
106,107
113,107
110,107
113,64
119,112
118,112
117,64
116,116
117,116
118,116
119,116
119,116
119,116
119,116
117,64
119,64
122,118
118,64
120,117
119,117
121,64
121,64
125,120
123,120
120,120
124,120
122,123
123,64
125,123
124,124
127,64
125,64
126,124
126,64
127,126
131,126
131,126
134,126
136,126
130,126
133,126
132,126
134,126
135,126
135,128
136,135
139,135
138,138
143,138
141,138
149,138
144,128
147,143
145,143
152,143
152,143
152,143
150,128
155,150
154,150
160,128
160,128
160,159
156,159
161,128
165,160
168,160
169,160
165,128
170,164
172,164
168,164
173,164
174,164
174,128
173,173
176,173
177,173
179,173
179,173
180,173
181,173
183,173
182,128
182,181
184,181
180,181
185,128
185,184
185,128
187,184
181,128
181,179
186,128
185,185
185,128
183,128
185,128
185,184
184,128
182,183
178,183
182,128
182,181
180,181
177,128
179,176
178,176
178,128
173,128
173,128
173,172
171,172
167,128
169,166
168,166
166,128
165,165
162,165
164,165
159,165
158,165
158,165
158,128
152,156
151,151
148,151
151,151
147,151
148,128
148,147
145,147
145,128
143,144
144,128
142,128
139,128
139,128
140,138
138,138
133,138
136,138
132,128
136,128
134,135
132,135
131,135
130,130
131,128
128,130
128,130
129,127
126,127
125,64
123,124
123,124
121,64
126,64
127,125
126,125
120,125
124,64
125,64
121,64
122,120
118,121
122,121
119,121
121,121
118,121
121,121
122,121
119,64
118,64
116,64
119,115
118,115
116,115
120,64
118,119
117,119
118,64
121,118
120,118
119,118
120,64
116,119
119,119
119,64
118,64
119,64
117,118
119,118
120,118
113,118
121,118
113,64
117,112
120,64
118,64
116,64
116,64
120,115
115,115
120,115
118,115
116,64
117,115
116,115
120,64
120,119
115,64
117,114
117,114
121,64
116,120
121,120
118,120
116,120
117,120
117,120
116,64
118,115
116,115
114,115
117,64
115,116
117,64
116,116
116,116
122,116
118,116
119,116
115,64
117,64
119,116
116,116
120,116
116,116
118,116
117,116
118,116
117,116
118,64
118,117
117,117
119,117
118,64
118,118
117,118
120,118
118,118
117,118
118,118
121,118
115,118
119,118
114,118
118,118
121,64
119,120
118,120
117,120
118,120
117,120
116,120
117,64
118,64
116,117
116,117
115,117
119,117
119,117
118,117
120,117
118,64
119,118
118,118
118,118
117,64
122,64
117,121
116,121
119,121
118,64
115,117
120,64
117,64
116,64
120,115
119,115
115,115
121,64
119,120
118,120
121,64
118,120
117,64
116,64
119,115
118,115
118,64
116,117
118,64
117,64
115,116
115,116
119,116
112,116
118,64
116,117
120,64
116,119
119,119
117,64
118,116
119,116
116,116
119,64
115,119
118,64
119,64
119,118
121,64
116,120
115,120
115,120
118,64
118,64
117,117
115,64
119,114
115,114
120,114
123,114
118,114
119,114
117,114
114,64
117,113
116,113
115,113
122,64
119,64
120,64
119,119
120,119
122,119
121,119
123,120
122,120
123,64
121,64
121,120
125,120
127,120
125,64
129,124
130,124
127,124
131,124
134,128
135,133
133,128
137,132
139,132
139,132
138,132
138,132
138,128
140,137
140,128
141,140
139,140
140,140
138,128
139,128
139,128
135,139
132,139
137,139
134,139
129,139
129,139
131,128
128,131
126,127
129,127
123,127
123,127
124,64
123,123
123,123
123,123
121,64
121,64
119,120
119,120
118,120
118,64
119,117
118,117
117,117
115,64
117,64
116,64
117,115
120,115
115,115
117,64
118,116
116,116
120,64
115,64
116,64
114,115
115,64
116,114
117,64
116,116
118,116
115,64
115,64
121,114
116,114
114,114
114,64
114,113
117,64
115,64
116,115
115,115
117,115
114,115
113,115
116,115
116,115
116,64
114,115
116,115
114,64
114,64
113,113
118,113
116,64
116,115
117,64
120,116
111,116
112,116
111,116
109,116
107,116
106,116
102,64
103,101
102,64
103,101
106,64
112,105
119,105
138,105
152,128
170,152
197,152
222,152
233,221
233,221
233,221
233,221
233,221
233,221
233,221
233,221
233,221
233,192
233,192
224,232
196,232
168,128
141,128
119,64
100,64
84,99
73,99
65,99
57,99
53,99
55,99
57,99
58,56
65,56
70,56
76,56
83,75
83,75
90,75
95,89
99,89
101,89
103,89
108,64
108,107
111,64
111,111
111,111
114,111
114,111
116,64
119,115
116,115
116,115
113,64
113,112
119,112
114,64
114,113
117,113
117,113
115,64
117,115
120,64
116,120
116,120
121,64
120,120
118,120
117,120
119,120
121,120
124,120
120,120
123,120
125,120
119,120
127,64
123,126
127,126
127,64
130,127
130,127
125,127
129,127
132,127
132,127
134,127
136,128
137,135
136,128
134,128
138,128
141,137
139,128
144,138
146,128
145,145
141,128
145,140
153,140
149,140
148,140
155,140
154,140
158,140
158,140
159,157
160,158
162,158
167,161
165,161
162,128
167,161
169,128
170,168
168,168
173,168
173,168
177,128
172,176
173,128
174,172
174,128
174,173
171,173
176,173
178,173
177,173
182,176
179,128
181,179
179,128
180,178
179,128
181,177
179,177
179,128
178,178
177,178
178,178
181,128
175,180
176,180
177,128
176,176
173,128
167,172
172,128
165,171
171,171
168,171
168,171
163,171
161,171
163,171
161,162
159,162
159,162
162,128
157,128
156,156
155,156
155,156
150,156
145,156
147,128
148,128
143,128
143,143
141,143
144,128
141,143
140,128
138,140
136,140
135,128
131,134
128,128
132,127
131,127
132,127
131,128
130,131
124,129
125,129
125,129
129,129
126,128
124,128
121,64
119,120
122,118
117,118
118,64
118,64
121,117
116,117
112,117
