Sent,Recv
176,255
174,255
173,244
174,244
177,128
178,172
180,172
180,172
178,192
176,248
178,225
179,225
178,225
177,0
179,48
177,192
177,248
178,0
176,128
177,176
176,176
173,32
174,192
177,254
171,241
168,169
168,169
170,169
169,169
168,169
169,167
161,167
165,167
166,167
160,165
160,165
158,165
156,128
156,156
158,156
158,157
152,157
155,157
150,157
152,149
147,128
146,128
145,145
149,128
143,128
139,142
141,142
137,128
136,128
137,135
134,136
134,136
132,133
132,133
131,0
125,9
129,9
125,9
123,9
125,64
124,114
122,114
124,114
119,114
120,114
119,0
120,8
120,109
116,109
119,109
117,192
113,199
112,199
116,64
115,105
115,105
114,105
115,105
116,105
111,105
111,105
111,105
113,105
115,105
111,128
107,192
108,228
110,64
110,192
110,195
111,0
110,8
113,8
109,240
109,240
111,240
107,192
111,0
110,9
110,9
113,9
109,9
114,9
109,9
107,9
110,64
107,109
108,109
110,64
110,109
108,109
111,64
111,110
112,110
110,110
112,110
105,110
108,110
107,110
109,110
108,110
109,110
112,64
109,111
110,111
108,111
109,111
109,64
110,108
111,108
112,108
109,108
110,64
106,109
108,109
110,109
110,64
109,109
110,109
109,109
111,109
109,109
108,64
109,108
103,108
109,108
101,108
105,108
109,108
109,128
106,182
107,182
111,182
107,182
113,182
108,182
109,187
111,187
108,187
106,192
108,249
108,64
106,66
108,66
107,66
110,64
108,192
108,230
108,0
108,48
109,138
106,138
106,138
110,138
107,138
105,0
109,55
109,55
105,55
108,55
109,55
109,0
109,10
105,84
108,84
107,84
107,84
109,84
111,84
111,84
110,84
108,84
108,0
109,64
108,95
108,0
109,3
108,64
106,64
107,64
109,107
108,107
108,64
109,107
107,107
109,64
108,108
105,108
110,64
107,109
104,64
105,103
106,103
108,64
107,108
107,108
109,108
108,108
108,108
108,64
109,107
103,107
107,107
103,107
107,64
107,64
109,106
110,64
108,109
106,64
108,105
106,105
107,105
109,105
106,105
109,64
109,96
105,0
109,24
109,24
107,24
106,24
106,7
106,7
108,180
105,0
108,7
105,7
107,238
108,64
112,83
105,191
110,160
108,11
109,192
108,247
109,64
108,86
111,86
108,0
111,7
108,99
110,99
109,99
112,99
115,192
112,0
113,64
112,94
115,94
113,94
115,94
119,192
122,250
126,250
120,250
125,250
124,250
124,15
127,192
127,247
128,21
127,192
126,192
126,210
131,13
129,13
129,13
130,13
131,13
130,13
127,13
130,128
130,130
127,130
127,126
127,64
126,126
124,126
122,126
121,126
117,126
119,64
114,118
114,118
117,118
116,118
116,118
112,118
109,118
111,118
111,64
110,110
112,64
108,111
109,111
106,64
109,105
108,105
106,105
107,105
107,105
107,105
111,105
107,105
107,105
103,0
105,64
106,79
106,128
109,167
106,167
109,167
107,64
107,108
107,108
107,108
110,0
102,9
103,9
106,128
107,144
108,21
108,192
106,0
109,9
109,9
107,128
109,148
107,148
106,148
108,148
107,148
107,148
110,148
102,148
104,148
104,148
106,148
106,148
104,148
105,192
105,196
111,8
109,192
104,195
103,0
100,128
97,164
98,225
95,225
95,128
91,175
93,175
97,64
103,96
113,96
123,64
145,123
164,123
192,123
218,123
233,123
233,192
233,192
233,231
233,231
233,231
233,232
233,232
233,192
233,192
233,232
215,232
187,128
164,186
133,128
110,132
92,109
78,109
64,0
54,63
49,0
46,48
45,45
53,44
52,44
58,44
60,0
67,0
71,128
73,151
81,151
85,64
88,72
93,0
101,6
101,6
105,172
105,0
107,5
105,5
108,0
109,64
107,128
110,175
110,175
108,14
107,96
107,96
110,96
111,96
109,128
110,189
112,64
112,97
114,97
114,97
110,97
116,97
112,97
115,64
114,105
113,105
111,64
115,92
113,92
118,92
120,92
116,92
119,0
118,31
119,192
122,0
121,9
126,103
122,103
126,103
125,103
128,103
126,103
128,128
129,127
129,128
133,128
134,128
135,133
138,128
139,138
137,128
140,136
139,136
142,128
142,142
148,142
146,142
147,128
151,128
146,150
147,128
154,128
154,153
156,153
154,153
158,153
163,157
162,157
162,128
162,161
163,161
161,161
167,161
169,128
165,168
168,168
168,168
169,168
172,168
168,168
174,168
175,168
173,168
170,168
173,168
177,168
170,168
175,64
173,98
177,98
174,98
176,98
176,98
178,98
174,98
174,98
170,192
175,229
170,229
170,229
170,229
167,192
169,192
170,52
167,52
163,52
164,128
165,192
159,238
159,218
162,218
159,218
158,64
160,92
156,192
155,220
157,228
150,29
148,192
149,248
148,248
144,81
142,192
147,238
142,238
139,192
141,215
138,215
136,128
136,174
132,174
134,174
136,174
132,174
129,174
128,174
127,174
126,174
125,174
127,64
121,64
125,64
122,124
122,64
119,121
123,121
122,64
121,121
115,64
119,114
118,114
114,114
116,114
116,114
116,114
115,64
115,115
117,115
116,115
108,115
113,115
113,64
109,64
113,108
115,192
110,234
113,64
110,128
110,176
114,0
110,11
112,122
107,122
115,122
112,122
110,122
112,122
108,122
113,192
110,233
110,233
110,233
109,128
112,158
111,158
112,158
110,158
111,64
110,79
115,79
107,79
113,12
113,192
109,241
115,64
112,128
112,186
110,186
110,186
110,186
111,186
113,186
111,186
109,186
112,186
112,186
112,192
112,0
110,10
109,128
109,179
107,179
111,64
110,99
110,0
105,8
108,8
113,8
109,0
111,41
108,41
114,64
111,64
111,110
115,110
114,110
110,110
110,64
110,64
112,109
111,109
110,64
114,110
111,110
116,110
111,110
115,110
112,64
113,112
110,112
110,64
112,110
113,110
111,64
109,64
109,108
109,108
108,108
112,108
114,108
111,108
107,108
111,108
111,108
116,64
109,115
111,115
115,115
113,64
113,100
112,100
112,100
113,100
110,100
114,100
109,100
112,100
112,100
111,100
112,100
111,100
110,100
111,100
110,100
113,128
110,175
113,64
110,99
111,99
111,0
115,44
113,44
112,44
113,64
108,128
112,64
116,115
113,115
113,167
113,167
114,167
109,128
109,181
113,181
111,181
115,128
112,172
109,172
110,172
107,172
112,172
112,128
112,175
115,175
115,175
112,192
109,0
114,64
114,128
113,184
115,64
111,114
117,114
111,114
114,114
110,64
111,109
116,109
113,64
115,64
114,64
113,64
116,112
113,112
110,112
112,112
114,112
114,112
110,112
112,112
113,112
113,64
111,64
113,110
113,110
116,110
116,110
114,110
114,110
115,110
114,110
114,110
115,110
116,110
115,110
118,110
120,64
116,102
120,128
121,150
123,150
123,192
121,239
123,64
126,94
129,94
124,0
130,19
133,19
132,19
134,19
132,102
134,102
132,0
132,13
138,13
135,0
136,64
135,192
135,128
137,186
135,186
137,186
137,186
136,186
135,186
136,186
130,186
131,186
132,192
132,212
125,212
126,128
128,185
126,185
124,64
122,112
121,112
122,40
120,40
120,40
119,40
117,15
119,15
123,15
114,15
117,128
115,145
117,145
116,145
117,145
118,145
116,159
118,64
111,192
118,248
116,248
117,115
113,115
114,115
116,115
115,115
116,115
117,64
112,116
117,116
115,64
115,114
113,114
116,64
111,115
117,115
113,115
116,115
115,115
118,64
115,117
114,64
115,113
118,113
117,113
115,64
115,114
113,114
116,64
112,115
117,115
116,115
120,64
114,108
116,0
119,41
118,128
114,151
116,151
115,64
115,128
112,128
111,0
107,64
108,103
107,103
103,103
100,103
105,103
107,0
110,64
121,93
132,93
151,93
174,93
203,93
226,93
233,93
233,192
233,255
233,255
233,255
233,192
233,128
233,140
233,191
233,191
233,191
226,116
203,192
167,255
145,164
120,164
102,164
87,220
70,220
66,220
63,220
56,220
57,220
60,51
61,51
65,51
67,51
78,51
82,0
86,64
93,68
97,68
101,128
107,64
106,98
113,64
110,112
113,112
119,112
118,112
117,64
116,116
117,64
118,116
119,116
119,116
119,116
119,64
117,118
119,118
122,64
118,121
120,64
119,120
121,120
121,120
125,64
123,124
120,124
124,124
122,124
123,124
125,124
124,124
127,124
125,64
126,124
126,124
127,124
131,124
131,124
134,124
136,124
130,124
133,0
132,17
134,17
135,17
135,195
136,64
139,126
138,126
143,126
141,126
149,192
144,249
147,64
145,192
152,214
152,214
152,214
150,214
155,214
154,214
160,134
160,134
160,134
156,134
161,134
165,0
168,128
169,165
165,165
170,128
172,152
168,0
173,54
174,192
174,242
173,0
176,192
177,192
179,246
179,160
180,172
181,172
183,172
182,192
182,254
184,128
180,139
185,139
185,139
185,139
187,139
181,255
181,138
186,138
185,138
185,138
183,138
185,138
185,138
184,138
182,138
178,181
182,181
182,128
180,182
177,182
179,182
178,182
178,182
173,182
173,128
173,128
171,172
167,172
169,128
168,128
166,167
165,167
162,128
164,161
159,161
158,161
158,161
158,161
152,161
151,128
148,128
151,128
147,150
148,150
148,150
145,64
145,77
143,192
144,0
142,17
139,127
139,128
140,157
138,128
133,192
136,247
132,247
136,247
134,128
132,182
131,182
130,182
131,182
128,182
128,182
129,182
126,182
125,182
123,192
123,195
121,195
126,195
127,195
126,195
120,195
124,104
125,128
121,164
122,164
118,164
122,0
119,13
121,13
118,13
121,174
122,174
119,174
118,174
116,17
119,17
118,192
116,196
120,64
118,128
117,186
118,0
121,32
120,32
119,32
120,118
116,118
119,118
119,118
118,118
119,118
117,64
119,64
120,119
113,119
121,119
113,119
117,119
120,64
118,64
116,64
116,115
120,64
115,120
120,120
118,120
116,64
117,115
116,115
120,115
120,64
115,119
117,96
117,116
121,128
116,180
121,180
118,180
116,192
117,0
117,11
116,192
118,192
116,0
114,17
117,122
115,122
117,122
116,122
116,122
122,122
118,16
119,16
115,240
117,11
119,11
116,188
120,156
116,156
118,192
117,243
118,64
117,86
118,86
118,153
117,153
119,153
118,0
118,15
117,192
120,227
118,13
117,13
118,13
121,13
115,13
119,13
114,13
118,10
121,10
119,10
118,10
117,10
118,192
117,228
116,228
117,65
118,65
116,65
116,65
115,65
119,114
119,64
118,118
120,118
118,64
119,117
118,117
118,117
117,64
122,64
117,121
116,64
119,115
118,115
115,115
120,115
117,115
116,115
120,115
119,115
115,115
121,115
119,115
118,115
121,115
118,115
117,128
116,192
119,225
118,18
118,128
116,64
